rs10004195	Helicobacter pylori serologic status
rs4455882	Myopia (pathological)
rs4457053	Type 2 diabetes
rs4458523	Type 2 diabetes
rs445925	Apolipoprotein Levels
rs445925	Cardiovascular disease risk factors
rs445925	Carotid intima media thickness
rs445925	Lipoprotein-associated phospholipase A2 activity and mass
rs445925	Metabolite levels
rs4462262	Diabetic retinopathy 
rs4463047	Fibrinogen
rs4466998	Mean corpuscular volume
rs4470914	Height
rs4474514	Testicular cancer
rs4475146	Gout
rs4478858	Alcohol dependence
rs4481233	Metabolic traits
rs4481887	Common traits (Other)
rs448378	Magnesium levels
rs4485401	Sphingolipid levels
rs4487645	Multiple myeloma
rs4487645	Multiple myeloma (hyperdiploidy)
rs4488809	Lung cancer
rs4489968	Heart rate
rs4491709	Permanent tooth development
rs4494548	Urinary uromodulin levels
rs4500751	Phospholipid levels (plasma)
rs4502156	Proinsulin levels
rs4503880	Liver enzyme levels (gamma-glutamyl transferase)
rs4505848	Type 1 diabetes
rs4506565	Fasting glucose-related traits
rs4506565	Type 2 diabetes
rs4507975	Venous thromboembolism (gene x gene interaction)
rs4510766	Ulcerative colitis
rs452036	Resting heart rate
rs4521516	Mean platelet volume
rs4523957	Schizophrenia
rs4530754	Cholesterol, total
rs4530754	LDL cholesterol
rs4533267	Height
rs4535251	Height
rs4537545	C-reactive protein
rs4538475	Parkinsons disease
rs4539242	Urinary metabolites (H-NMR features)
rs45430	Melanoma
rs4547811	Liver enzyme levels (gamma-glutamyl transferase)
rs4549631	Height
rs4552569	Ankylosing spondylitis
rs455804	Hepatocellular carcinoma
rs4561508	Hematology traits
rs4561508	Serum total protein level
rs458017	Psoriasis
rs4580814	Mean corpuscular hemoglobin concentration
rs4581712	Liver enzyme levels (gamma-glutamyl transferase)
rs4590817	Blood pressure
rs4598195	Ulcerative colitis
rs4601530	Height
rs4605213	Height
rs4607103	Type 2 diabetes
rs4607517	Fasting glucose-related traits
rs4607517	Fasting glucose-related traits (interaction with BMI)
rs4607517	Fasting plasma glucose
rs4609139	Bone mineral density
rs4613763	Crohns disease
rs4613763	Multiple sclerosis
rs4621553	Sudden cardiac arrest
rs4622329	Systemic lupus erythematosus
rs4624820	Testicular germ cell cancer
rs4624820	Testicular germ cell tumor
rs4626664	Restless legs syndrome
rs4635969	Testicular germ cell cancer
rs4635969	Testicular germ cell tumor
rs4636294	Cutaneous nevi
rs4638289	Amyloid A serum levels
rs4639966	Systemic lupus erythematosus
rs4640244	Height
rs4646949	Fasting insulin-related traits (interaction with BMI)
rs4648356	Multiple sclerosis
rs4649203	Psoriasis
rs4650608	Bipolar disorder
rs4650608	Schizophrenia or bipolar disorder
rs4650994	HDL cholesterol
rs46522	Coronary heart disease
rs4654748	Folate pathway vitamin levels
rs4654783	Endometriosis
rs4654903	Ulcerative colitis
rs4654925	Ulcerative colitis
rs4656461	Glaucoma
rs4656784	IgE levels 
rs4656958	Inflammatory bowel disease
rs4657175	QT interval
rs4657178	QT interval
rs4657616	Hematology traits
rs465969	Psoriasis
rs4660293	HDL cholesterol
rs4660306	Homocysteine levels
rs4664308	Nephropathy (idiopathic membranous)
rs4665058	Sudden cardiac arrest
rs4665736	Height
rs4665972	Triglycerides
rs4666002	Phospholipid levels (plasma)
rs466639	Menarche (age at onset)
rs4675374	Celiac disease
rs4676049	Alzheimers disease (late onset)
rs4676406	Ulcerative colitis
rs4676410	Sclerosing cholangitis and ulcerative colitis (combined)
rs467650	Venous thromboembolism (gene x gene interaction)
rs468327	Urinary metabolites (H-NMR features)
rs4686914	Metabolite levels
rs4687552	Schizophrenia
rs4689388	Type 2 diabetes and other traits
rs4691139	Ovarian cancer in BRCA1 mutation carriers 
rs4691380	Fasting insulin-related traits (interaction with BMI)
rs4693089	Menopause (age at onset)
rs4698014	Uric acid levels
rs4698036	Cardiovascular disease risk factors
rs4698775	Age-related macular degeneration
rs4700060	Alzheimers disease (cognitive decline)
rs470119	Mean corpuscular hemoglobin
rs4702484	Capecitabine sensitivity
rs4704397	Thyroid stimulating hormone
rs4705952	C-reactive protein
rs4711171	Phospholipid levels (plasma)
rs4711336	Height
rs4711751	Age-related macular degeneration
rs4712523	Type 2 diabetes
rs4712523	Type 2 diabetes and other traits
rs4712524	Type 2 diabetes
rs4712653	Neuroblastoma
rs4712972	Carotid intima media thickness
rs4713103	Phospholipid levels (plasma)
rs4713226	Immune reponse to smallpox (secreted IFN-alpha)
rs471364	HDL cholesterol
rs4713693	Graves disease
rs4713858	Height
rs4714955	Coronary artery disease or ischemic stroke
rs4714955	Coronary artery disease or large artery stroke
rs4715555	Venous thromboembolism (gene x gene interaction)
rs4718428	Corneal structure
rs4721295	Schizophrenia, schizoaffective disorder or bipolar disorder
rs4722404	Atopic dermatitis
rs4722551	Cholesterol, total
rs4722551	LDL cholesterol
rs4722551	Triglycerides
rs4722672	Ulcerative colitis
rs4725982	QT interval
rs4727338	Bone mineral density
rs4727443	Interstitial lung disease 
rs4728142	Systemic lupus erythematosus
rs4728142	Ulcerative colitis
rs4729260	Bone mineral density (spine)
rs4730250	Osteoarthritis
rs473034	Obesity (early onset extreme)
rs4730775	Dupuytrens disease
rs4731120	Platelet counts
rs4731702	HDL cholesterol
rs4735692	Obesity
rs4737009	Glycated hemoglobin levels
rs4737395	Myopia (pathological)
rs473902	Height
rs4743034	Height
rs4743820	Inflammatory bowel disease
rs4744712	Chronic kidney disease
rs4746822	Glycemic traits (pregnancy)
rs4747011	Brain connectivity
rs4748153	Immune response to smallpox vaccine (IL-6)
rs4759375	HDL cholesterol
rs4763879	Type 1 diabetes
rs4765127	HDL cholesterol
rs4765127	Triglycerides
rs4765623	Renal cell carcinoma
rs4765913	Bipolar disorder
rs4766578	Vitiligo
rs4767364	Upper aerodigestive tract cancers
rs476828	Obesity (early onset extreme)
rs4771122	Body mass index
rs4773144	Coronary heart disease
rs4775041	HDL cholesterol
rs4775041	Triglycerides
rs477515	Epstein-Barr virus immune response (EBNA-1)
rs477515	Hepatitis B vaccine response
rs477515	Inflammatory bowel disease
rs4775302	Prostate cancer
rs477692	Response to temozolomide
rs4776970	Body mass index
rs4778879	Refractive error
rs477895	Mean platelet volume
rs4779584	Colorectal cancer
rs477992	Metabolic traits
rs4780355	Crohns disease and psoriasis
rs4780401	Rheumatoid arthritis
rs478093	Metabolite levels
rs478222	Type 1 diabetes
rs4783244	Adiponectin levels
rs4784165	Polycystic ovary syndrome
rs4784223	Breast cancer (early onset)
rs4784227	Breast cancer
rs4784379	Venous thromboembolism (gene x gene interaction)
rs4785204	Esophageal cancer (squamous cell)
rs4785763	Melanoma
rs478607	Urate levels
rs4788084	Type 1 diabetes
rs4788084	Type 1 diabetes autoantibodies
rs4788196	Pubertal anthropometrics
rs4788815	Metabolite levels
rs4790333	Proinsulin levels
rs4790881	Bone mineral density
rs4792800	IgG levels
rs4792909	Bone mineral density
rs479336	Bone mineral density
rs4793501	Refractive error
rs4793529	Prostate cancer
rs4794202	Alzheimers disease (cognitive decline)
rs4794820	Asthma
rs4794822	Neutrophil count
rs4794822	White blood cell count
rs4794822	White blood cell types
rs4795067	Psoriasis
rs4795519	Chronic myeloid leukemia
rs4796217	Protein quantitative trait loci
rs4796995	Bone mineral density
rs479777	Sarcoidosis
rs479844	Atopic dermatitis
rs4800148	Height
rs4800250	Venous thromboembolism (gene x gene interaction)
rs4800452	Height
rs4801131	Schizophrenia
rs4802307	Crohns disease
rs4803750	Lipid metabolism phenotypes
rs4804416	Thyroid hormone levels
rs4805834	Creatinine levels
rs4805885	Adiponectin levels
rs4806073	Serum albumin level
rs4808801	Breast cancer
rs4809324	Glioma (high-grade)
rs4809330	Crohns disease
rs4810479	Metabolite levels
rs4810485	Rheumatoid arthritis
rs4812048	Mean platelet volume
rs4812829	Type 2 diabetes
rs4813003	Kawasaki disease
rs4817986	Fibrinogen
rs4819388	Celiac disease
rs4819833	DNA methylation (parent-of-origin)
rs4820268	Hematology traits
rs4820268	Iron levels
rs4820268	Red blood cell traits
rs4820425	Crohns disease
rs4820599	Gamma glutamyl transpeptidase
rs4820599	Liver enzyme levels
rs4821112	Mean corpuscular volume
rs4821116	Hepatitis B
rs4821469	End-stage renal disease (non-diabetic)
rs4821897	IgG glycosylation
rs4822024	Vitiligo
rs4822983	Esophageal cancer (squamous cell)
rs4823535	Venous thromboembolism (gene x gene interaction)
rs4831760	Pulmonary function decline
rs4833095	Asthma and hay fever
rs4835265	Gamma glutamyl transpeptidase
rs4836133	Body mass index
rs4836519	Inflammatory bowel disease
rs4838605	Diabetic retinopathy 
rs483905	Ulcerative colitis
rs4839680	Myopia (pathological)
rs4840086	Menarche (age at onset)
rs4841132	Fasting glucose-related traits (interaction with BMI)
rs4841132	Fasting insulin-related traits (interaction with BMI)
rs4841132	Glycemic traits (pregnancy)
rs4841132	Metabolite levels
rs4842838	Height
rs4845604	Inflammatory bowel disease
rs4846480	Chronic obstructive pulmonary disease (severe)
rs4846914	HDL cholesterol
rs4846914	Triglycerides
rs4846922	Metabolic syndrome
rs484959	Pagets disease
rs4849887	Breast cancer
rs4849887	Breast size
rs4851266	Educational attainment
rs4852324	Systemic lupus erythematosus
rs485499	Primary biliary cirrhosis
rs4857855	Eosinophil counts
rs4859682	Glomerular filtration rate
rs4868644	Venous thromboembolism (gene x gene interaction)
rs4869739	Bone properties (heel)
rs4869742	Bone mineral density
rs4870044	Bone mineral density (spine)
rs4871611	Crohns disease
rs4878639	IgG glycosylation
rs4883201	Cholesterol, total
rs4886238	Menopause (age at onset)
rs4886707	Height
rs4888262	Testicular germ cell tumor
rs4890568	Hematological and biochemical traits
rs4894535	Corneal structure
rs4895441	Mean corpuscular volume
rs4895441	White blood cell count
rs4896582	Height
rs489693	Antipsychotic drug-induced weight gain
rs4899554	Inflammatory bowel disease
rs4900109	Iris characteristics
rs4900384	Type 1 diabetes
rs4902642	Crohns disease
rs4902647	Multiple sclerosis
rs4906844	Cortical thickness
rs4908760	Vitiligo
rs4910742	Fetal hemoglobin levels
rs4910742	Inflammatory biomarkers
rs4911259	Inflammatory bowel disease
rs4911414	Burning and freckling
rs4911414	Freckles
rs4911414	Red vs. non-red hair color
rs4911414	Skin sensitivity to sun
rs4911414	Tanning
rs4915077	Hypothyroidism
rs4915559	End-stage coagulation
rs491567	Chronic kidney disease
rs4916483	Mean corpuscular hemoglobin
rs4916483	Mean corpuscular volume
rs4917014	HDL cholesterol
rs4917014	Systemic lupus erythematosus
rs4917017	IgG glycosylation
rs4921542	Creutzfeldt-Jakob disease (variant)
rs4921914	Urinary metabolites
rs4921914	Urinary metabolites (H-NMR features)
rs4924410	Ewing sarcoma
rs4925386	Colorectal cancer
rs492602	Cholesterol, total
rs492602	Vitamin B12 levels
rs4929923	Menarche (age at onset)
rs4929949	Body mass index
rs4930103	DNA methylation (parent-of-origin)
rs4930103	DNA methylation (variation)
rs493014	Venous thromboembolism (gene x gene interaction)
rs4930561	IgG glycosylation
rs493258	Age-related macular degeneration
rs493573	Urate levels
rs4937076	Primary tooth development (time to first tooth eruption)
rs4938174	Corneal structure
rs4938303	Triglycerides
rs4938534	Primary biliary cirrhosis
rs4938642	Platelet counts
rs4938933	Alzheimers disease (late onset)
rs4939490	Multiple sclerosis
rs4939827	Colorectal cancer
rs4939883	Cholesterol, total
rs4939883	HDL cholesterol
rs4939883	Lipid metabolism phenotypes
rs4942486	LDL cholesterol
rs4944092	PR interval
rs494453	Osteoporosis-related phenotypes
rs494459	Height
rs494558	Obesity-related traits
rs494562	Metabolic traits
rs4947296	Behcets disease
rs4947296	Graves disease
rs4948088	Type 1 diabetes
rs4948102	Plasma homocysteine levels (post-methionine load test)
rs4948418	Bipolar disorder
rs4948496	Systemic lupus erythematosus
rs4950806	Butyrylcholinesterase levels
rs4950928	YKL-40 levels
rs4953076	Height
rs4953318	Red blood cell traits
rs495337	Psoriasis
rs495366	Matrix metalloproteinase levels
rs4954218	Corneal structure
rs4957048	Ulcerative colitis
rs495828	Angiotensin-converting enzyme activity
rs495828	Hematological and biochemical traits
rs495828	Red blood cell count
rs495828	Venous thromboembolism
rs4958881	Myasthenia gravis 
rs4959053	Behcets disease
rs4961252	Response to interferon beta therapy
rs4962153	Liver enzyme levels
rs4963128	Systemic lupus erythematosus
rs4965593	Height
rs4965598	Height
rs4971516	LDL cholesterol
rs4972593	End-stage renal disease in Type 1 diabetics
rs4973768	Breast cancer
rs4975616	Lung cancer
rs4977574	Coronary heart disease
rs4977574	Myocardial infarction (early onset)
rs4977756	Glaucoma
rs4977756	Glioma
rs4979462	Primary biliary cirrhosis
rs4982731	Acute lymphoblastic leukemia (childhood)
rs4983559	HDL cholesterol
rs4985155	Bone mineral density
rs4985155	Plasma omega-6 polyunsaturated fatty acid levels (dihomo-gamma-linolenic acid)
rs4985155	Plasma omega-6 polyunsaturated fatty acid levels (gamma-linolenic acid)
rs4985726	Non-albumin protein levels 
rs4986172	Height
rs4987852	Chronic lymphocytic leukemia
rs4987855	Chronic lymphocytic leukemia
rs498872	Glioma
rs499368	Metabolite levels
rs499697	Common traits (Other)
rs499974	HDL cholesterol
rs5006884	Fetal hemoglobin levels
rs501120	Coronary heart disease
rs5015480	Type 2 diabetes
rs501764	Hodgkins lymphoma
rs502716	Response to anti-retroviral therapy (ddI/d4T) in HIV-1 infection (Grade 2 peripheral neuropathy)
rs5029939	Sjögrens syndrome
rs5029939	Systemic lupus erythematosus
rs503279	Metabolic traits
rs504915	Renal function-related traits (urea)
rs504963	Crohns disease
rs505404	Platelet counts
rs505802	Uric acid levels
rs505922	Duodenal ulcer 
rs505922	End-stage coagulation
rs505922	Graves disease
rs505922	Pancreatic cancer
rs505922	Protein quantitative trait loci
rs505922	Venous thromboembolism
rs506338	Urate levels
rs506500	Blood trace element (Se levels)
rs506585	Lipid metabolism phenotypes
rs507080	Serum metabolite levels
rs507666	Lipid traits
rs507666	Soluble ICAM-1
rs508487	Cardiovascular disease risk factors
rs509208	Alzheimers disease biomarkers
rs511154	Fibrinogen
rs513349	Platelet counts
rs514230	Cholesterol, total
rs514230	LDL cholesterol
rs514659	Coronary heart disease
rs514716	Alzheimers disease biomarkers
rs515071	Type 2 diabetes
rs515135	LDL cholesterol
rs516246	Crohns disease
rs516246	Liver enzyme levels (gamma-glutamyl transferase)
rs516636	Body mass index
rs519113	Alzheimers disease (late onset)
rs519113	HDL cholesterol
rs5215	Type 2 diabetes
rs5219	Type 2 diabetes
rs522162	Age-related macular degeneration
rs523096	Glaucoma
rs524952	Refractive error
rs525592	Bone mineral density
rs526896	Height
rs526934	Folate pathway vitamin levels
rs527616	Breast cancer
rs529866	Inflammatory bowel disease
rs533259	Multiple sclerosis
rs534870	Adiposity
rs536477	Venous thromboembolism (gene x gene interaction)
rs536841	Alzheimers disease
rs5370	Circulating vasoactive peptide levels 
rs537626	Breast cancer (early onset)
rs538147	Primary biliary cirrhosis
rs538656	Obesity
rs539514	Type 1 diabetes
rs541862	Age-related macular degeneration
rs543650	Height
rs543874	Body mass index
rs548234	Systemic lupus erythematosus
rs548987	Homocysteine levels
rs549182	Ulcerative colitis
rs5498	Soluble ICAM-1
rs552976	Glycated hemoglobin levels
rs555044	Serum metabolite levels
rs555212	End-stage coagulation
rs556621	Stroke (ischemic)
rs55791371	Lipid metabolism phenotypes
rs55988457	PR interval in Tripanosoma cruzi seropositivity
rs559928	Inflammatory bowel disease
rs559972	Platelet counts
rs560426	Orofacial clefts
rs560887	Fasting glucose-related traits
rs560887	Fasting glucose-related traits (interaction with BMI)
rs560887	Fasting plasma glucose
rs560887	Glycated hemoglobin levels
rs560887	Glycemic traits (pregnancy)
rs560887	Metabolic syndrome
rs560887	Metabolic traits
rs560887	Metabolite levels
rs561241	Factor VII
rs561241	Prothrombin time
rs56131196	Alzheimers disease biomarkers
rs561655	Alzheimers disease (late onset)
rs561722	Ulcerative colitis
rs562338	LDL cholesterol
rs564343	Obesity (early onset extreme)
rs569214	Alzheimers disease
rs569805	Metabolic syndrome (bivariate traits)
rs57024841	Beta-trace protein levels
rs571312	Body mass index
rs572169	Height
rs573872	Infantile hypertrophic pyloric stenosis
rs5742692	Height
rs5742915	Height
rs5742915	Pagets disease
rs5743289	Crohns disease
rs5743289	Inflammatory bowel disease
rs5743890	Idiopathic pulmonary fibrosis
rs5743894	Idiopathic pulmonary fibrosis
rs5745568	Platelet counts
rs5749446	Red blood cell traits
rs5751902	Hematological and biochemical traits
rs5753037	Type 1 diabetes
rs5754217	Red blood cell traits
rs5756504	Hematological and biochemical traits
rs5756506	Hematological parameters
rs5756931	Triglycerides
rs5759167	Prostate cancer
rs5763662	LDL cholesterol
rs5768709	Pancreatic cancer
rs5770917	Narcolepsy
rs5771069	Ulcerative colitis
rs579459	Coronary artery disease or ischemic stroke
rs579459	Coronary artery disease or large artery stroke
rs579459	Coronary heart disease
rs579459	Liver enzyme levels (alkaline phosphatase)
rs579459	Red blood cell traits
rs579459	Soluble E-selectin levels
rs579459	Soluble levels of adhesion molecules
rs579459	Urinary metabolites (H-NMR features)
rs581080	Cholesterol, total
rs581080	HDL cholesterol
rs58370486	Alzheimers disease (cognitive decline)
rs584438	Height
rs588136	Lipid traits
rs589691	Urate levels
rs59007384	Alzheimers disease biomarkers
